Questionario,Code Questionario,Instrução,Categorias,Título questão,Description Questao,Code Questão,Ordem Questão,Instrução questão ,Subtitulo,QuestionNumber QuestionnaireQuestion,Order QuestionnaireQuestion,Chaves de resposta,Chaves de resposta New,Condição de resposta,Tipo,Score mínimo,Score máximo,Programas com a questão,Ad-hoc (Carregar na pull de questões Sim =1 Não =0)
Abusos e Maus Usos Vocais - Diário,Vocal_Abuse_Diary,Este questionário foi construído de acordo com o programa de Reabilitação Vocal ele avalia sintomas relacionados com abusos e maus usos vocais como estado da sua voz ao longo do dia e período em que sofre alterações,Sintomatologia,,Durante o dia a sua voz: ,QUES0136,136,,,1,0,"0 - Piora - VAD_WORST,
1 - Melhora - VAD_IMPROVEMENT,
2 - Não varia - VAD_NOT_CHANGE",Sim ,"Se Melhora 1.1
Se Piora 1.2 ",Likert,0,2,Reabilitação vocal,
Abusos e Maus Usos Vocais - Diário,Vocal_Abuse_Diary,Este questionário foi construído de acordo com o programa de Reabilitação Vocal ele avalia sintomas relacionados com abusos e maus usos vocais como estado da sua voz ao longo do dia e período em que sofre alterações,Sintomatologia,,Se melhora (em que período),QUES0137,137,,,1.1,1,"0 - Manhã - VAD_MORNING, 
1 - Tarde - VAD_AFTERNOON,
2 - Noite - VAD_NIGHT
",Sim ,,Likert,0,2,Reabilitação vocal,
Abusos e Maus Usos Vocais - Diário,Vocal_Abuse_Diary,Este questionário foi construído de acordo com o programa de Reabilitação Vocal ele avalia sintomas relacionados com abusos e maus usos vocais como estado da sua voz ao longo do dia e período em que sofre alterações,Sintomatologia,,Se piora (em que período),QUES0138,138,,,1.2,2,"0 - Manhã - VAD_MORNING, 
1 - Tarde - VAD_AFTERNOON,
2 - Noite - VAD_NIGHT
",Sim ,,Likert,0,2,Reabilitação vocal,
Abusos e Maus Usos Vocais - Diário,Vocal_Abuse_Diary,Este questionário foi construído de acordo com o programa de Reabilitação Vocal ele avalia sintomas relacionados com abusos e maus usos vocais como estado da sua voz ao longo do dia e período em que sofre alterações,Sintomatologia,,Como sente a sua voz hoje?,QUES0139,139,,,2,3,"0 - Normal - VAD_NORMAL,
1 - Alteração ligeira - VAD_SLIGHT_CHANGE,
2 - Alteração moderada - VAD_MODERATE_CHANGE,
3 - Alteração severa-VAD_SEVERE_CHANGE",Sim ,,Likert,0,3,Reabilitação vocal,
Abusos e Maus Usos Vocais - Semanal,Vocal_Abuse_Weekly,"Este questionário foi construído de acordo com o programa de Reabilitação Vocal ele avalia sintomas relacionados com abusos e maus usos vocais como gritar, pigarrear (""limpar a garganta""), cantar com técnica inapropriada, entre outras.
",Sintomatologia,"Durante a última semana, realizou este comportamento?",Gritar,QUES0140,140,,,1.1,1," 0 - Nunca - VAD_NEVER,
1 - Pouco - VAD_LITTLE,
2 - Às vezes - VAD_SOMETIMES,
3 - Muito - VAD_MANY",Sim ,,Likert,0,3,Reabilitação vocal,
Abusos e Maus Usos Vocais - Semanal,Vocal_Abuse_Weekly,"Este questionário foi construído de acordo com o programa de Reabilitação Vocal ele avalia sintomas relacionados com abusos e maus usos vocais como gritar, pigarrear (""limpar a garganta""), cantar com técnica inapropriada, entre outras.
",Sintomatologia,"Durante a última semana, realizou este comportamento?",Tossir esforçando a garganta,QUES0141,141,,,1.2,2," 0 - Nunca - VAD_NEVER,
1 - Pouco - VAD_LITTLE,
2 - Às vezes - VAD_SOMETIMES,
3 - Muito - VAD_MANY",Nao,,Likert,0,3,Reabilitação vocal,
Abusos e Maus Usos Vocais - Semanal,Vocal_Abuse_Weekly,"Este questionário foi construído de acordo com o programa de Reabilitação Vocal ele avalia sintomas relacionados com abusos e maus usos vocais como gritar, pigarrear (""limpar a garganta""), cantar com técnica inapropriada, entre outras.
",Sintomatologia,"Durante a última semana, realizou este comportamento?","Pigarrear (""limpar"" a garganta)",QUES0142,142,,,1.3,3," 0 - Nunca - VAD_NEVER,
1 - Pouco - VAD_LITTLE,
2 - Às vezes - VAD_SOMETIMES,
3 - Muito - VAD_MANY",0,,Likert,0,3,Reabilitação vocal,
Abusos e Maus Usos Vocais - Semanal,Vocal_Abuse_Weekly,"Este questionário foi construído de acordo com o programa de Reabilitação Vocal ele avalia sintomas relacionados com abusos e maus usos vocais como gritar, pigarrear (""limpar a garganta""), cantar com técnica inapropriada, entre outras.
",Sintomatologia,"Durante a última semana, realizou este comportamento?",Falar durante esforços físicos ,QUES0143,143,,,1.4,4," 0 - Nunca - VAD_NEVER,
1 - Pouco - VAD_LITTLE,
2 - Às vezes - VAD_SOMETIMES,
3 - Muito - VAD_MANY",0,,Likert,0,3,Reabilitação vocal,
Abusos e Maus Usos Vocais - Semanal,Vocal_Abuse_Weekly,"Este questionário foi construído de acordo com o programa de Reabilitação Vocal ele avalia sintomas relacionados com abusos e maus usos vocais como gritar, pigarrear (""limpar a garganta""), cantar com técnica inapropriada, entre outras.
",Sintomatologia,"Durante a última semana, realizou este comportamento?",Falar muito alto,QUES0144,144,,,1.5,5," 0 - Nunca - VAD_NEVER,
1 - Pouco - VAD_LITTLE,
2 - Às vezes - VAD_SOMETIMES,
3 - Muito - VAD_MANY",0,,Likert,0,3,Reabilitação vocal,
Abusos e Maus Usos Vocais - Semanal,Vocal_Abuse_Weekly,"Este questionário foi construído de acordo com o programa de Reabilitação Vocal ele avalia sintomas relacionados com abusos e maus usos vocais como gritar, pigarrear (""limpar a garganta""), cantar com técnica inapropriada, entre outras.
",Sintomatologia,"Durante a última semana, realizou este comportamento?","Falar em ""segredo""",QUES0145,145,,,1.6,6," 0 - Nunca - VAD_NEVER,
1 - Pouco - VAD_LITTLE,
2 - Às vezes - VAD_SOMETIMES,
3 - Muito - VAD_MANY",0,,Likert,0,3,Reabilitação vocal,
