Questionario,Code Questionario,Instrução,Categorias,Título questão,Description Questao,Code Questão,Ordem Questão,Instrução questão ,Subtitulo,QuestionNumber QuestionnaireQuestion,Order QuestionnaireQuestion,Chaves de resposta,Chaves de resposta New,Condição de resposta,Tipo,Valor de referência (cut-off),Score
VoiSS,VOISS,"Este questionário é utilizado para avaliar os seus sintomas vocais e seu impacto na sua vida diária. Ele é usado para identificar problemas relacionados à voz, auxiliando no diagnóstico e acompanhamento de distúrbios vocais. Leia atentamente todas as perguntas, e pense como a sua voz se tem comportado nas últimas semanas. Selecione a opção que melhor se aplica à sua realidade.",Sintomatologia,Responda com base na frequência dos sintomas,Sente dificuldades em chamar a atenção das outras pessoas?,SCOREQUES0087,0,,,1,1,"0 - Nunca - VOISS_NEVER
1 - Ocasionalmente - VOISS_OCASSIONALLY
2-Com alguma frequência - VOISS_VERY_OFTEN
3-Muitas vezes - VOISS_MANY_TIMES",SIM ,Selecionar apenas uma opção,Likert,Score >16 sugere disfonia,Somatório
VoiSS,VOISS,"Este questionário é utilizado para avaliar os seus sintomas vocais e seu impacto na sua vida diária. Ele é usado para identificar problemas relacionados à voz, auxiliando no diagnóstico e acompanhamento de distúrbios vocais. Leia atentamente todas as perguntas, e pense como a sua voz se tem comportado nas últimas semanas. Selecione a opção que melhor se aplica à sua realidade.",Sintomatologia,Responda com base na frequência dos sintomas,Sente dificuldades em cantar?,SCOREQUES0088,0,,,2,2,"0 - Nunca - VOISS_NEVER
1 - Ocasionalmente - VOISS_OCASSIONALLY
2-Com alguma frequência - VOISS_VERY_OFTEN
3-Muitas vezes - VOISS_MANY_TIMES",Nao,Selecionar apenas uma opção,Likert,Score >16 sugere disfonia,Somatório
VoiSS,VOISS,"Este questionário é utilizado para avaliar os seus sintomas vocais e seu impacto na sua vida diária. Ele é usado para identificar problemas relacionados à voz, auxiliando no diagnóstico e acompanhamento de distúrbios vocais. Leia atentamente todas as perguntas, e pense como a sua voz se tem comportado nas últimas semanas. Selecione a opção que melhor se aplica à sua realidade.",Sintomatologia,Responda com base na frequência dos sintomas,Tem dores de garganta?,SCOREQUES0089,0,,,3,3,"0 - Nunca - VOISS_NEVER
1 - Ocasionalmente - VOISS_OCASSIONALLY
2-Com alguma frequência - VOISS_VERY_OFTEN
3-Muitas vezes - VOISS_MANY_TIMES",Nao,Selecionar apenas uma opção,Likert,Score >16 sugere disfonia,Somatório
VoiSS,VOISS,"Este questionário é utilizado para avaliar os seus sintomas vocais e seu impacto na sua vida diária. Ele é usado para identificar problemas relacionados à voz, auxiliando no diagnóstico e acompanhamento de distúrbios vocais. Leia atentamente todas as perguntas, e pense como a sua voz se tem comportado nas últimas semanas. Selecione a opção que melhor se aplica à sua realidade.",Sintomatologia,Responda com base na frequência dos sintomas,Sente a voz rouca?,SCOREQUES0090,0,,,4,4,"0 - Nunca - VOISS_NEVER
1 - Ocasionalmente - VOISS_OCASSIONALLY
2-Com alguma frequência - VOISS_VERY_OFTEN
3-Muitas vezes - VOISS_MANY_TIMES",Nao,Selecionar apenas uma opção,Likert,Score >16 sugere disfonia,Somatório
VoiSS,VOISS,"Este questionário é utilizado para avaliar os seus sintomas vocais e seu impacto na sua vida diária. Ele é usado para identificar problemas relacionados à voz, auxiliando no diagnóstico e acompanhamento de distúrbios vocais. Leia atentamente todas as perguntas, e pense como a sua voz se tem comportado nas últimas semanas. Selecione a opção que melhor se aplica à sua realidade.",Sintomatologia,Responda com base na frequência dos sintomas,"Quando fala, as pessoas sentem dificuldades em ouvi-lo?",SCOREQUES0091,0,,,5,5,"0 - Nunca - VOISS_NEVER
1 - Ocasionalmente - VOISS_OCASSIONALLY
2-Com alguma frequência - VOISS_VERY_OFTEN
3-Muitas vezes - VOISS_MANY_TIMES",Nao,Selecionar apenas uma opção,Likert,Score >16 sugere disfonia,Somatório
VoiSS,VOISS,"Este questionário é utilizado para avaliar os seus sintomas vocais e seu impacto na sua vida diária. Ele é usado para identificar problemas relacionados à voz, auxiliando no diagnóstico e acompanhamento de distúrbios vocais. Leia atentamente todas as perguntas, e pense como a sua voz se tem comportado nas últimas semanas. Selecione a opção que melhor se aplica à sua realidade.",Sintomatologia,Responda com base na frequência dos sintomas,Costuma ficar sem voz?,SCOREQUES0092,0,,,6,6,"0 - Nunca - VOISS_NEVER
1 - Ocasionalmente - VOISS_OCASSIONALLY
2-Com alguma frequência - VOISS_VERY_OFTEN
3-Muitas vezes - VOISS_MANY_TIMES",Nao,Selecionar apenas uma opção,Likert,Score >16 sugere disfonia,Somatório
VoiSS,VOISS,"Este questionário é utilizado para avaliar os seus sintomas vocais e seu impacto na sua vida diária. Ele é usado para identificar problemas relacionados à voz, auxiliando no diagnóstico e acompanhamento de distúrbios vocais. Leia atentamente todas as perguntas, e pense como a sua voz se tem comportado nas últimas semanas. Selecione a opção que melhor se aplica à sua realidade.",Sintomatologia,Responda com base na frequência dos sintomas,Costuma tossir ou pigarrear?,SCOREQUES0093,0,,,7,7,"0 - Nunca - VOISS_NEVER
1 - Ocasionalmente - VOISS_OCASSIONALLY
2-Com alguma frequência - VOISS_VERY_OFTEN
3-Muitas vezes - VOISS_MANY_TIMES",Nao,Selecionar apenas uma opção,Likert,Score >16 sugere disfonia,Somatório
VoiSS,VOISS,"Este questionário é utilizado para avaliar os seus sintomas vocais e seu impacto na sua vida diária. Ele é usado para identificar problemas relacionados à voz, auxiliando no diagnóstico e acompanhamento de distúrbios vocais. Leia atentamente todas as perguntas, e pense como a sua voz se tem comportado nas últimas semanas. Selecione a opção que melhor se aplica à sua realidade.",Sintomatologia,Responda com base na frequência dos sintomas,Tem a voz fraca?,SCOREQUES0094,0,,,8,8,"0 - Nunca - VOISS_NEVER
1 - Ocasionalmente - VOISS_OCASSIONALLY
2-Com alguma frequência - VOISS_VERY_OFTEN
3-Muitas vezes - VOISS_MANY_TIMES",Nao,Selecionar apenas uma opção,Likert,Score >16 sugere disfonia,Somatório
VoiSS,VOISS,"Este questionário é utilizado para avaliar os seus sintomas vocais e seu impacto na sua vida diária. Ele é usado para identificar problemas relacionados à voz, auxiliando no diagnóstico e acompanhamento de distúrbios vocais. Leia atentamente todas as perguntas, e pense como a sua voz se tem comportado nas últimas semanas. Selecione a opção que melhor se aplica à sua realidade.",Sintomatologia,Responda com base na frequência dos sintomas,Tem dificuldades em falar ao telefone?,SCOREQUES0095,0,,,9,9,"0 - Nunca - VOISS_NEVER
1 - Ocasionalmente - VOISS_OCASSIONALLY
2-Com alguma frequência - VOISS_VERY_OFTEN
3-Muitas vezes - VOISS_MANY_TIMES",Nao,Selecionar apenas uma opção,Likert,Score >16 sugere disfonia,Somatório
VoiSS,VOISS,"Este questionário é utilizado para avaliar os seus sintomas vocais e seu impacto na sua vida diária. Ele é usado para identificar problemas relacionados à voz, auxiliando no diagnóstico e acompanhamento de distúrbios vocais. Leia atentamente todas as perguntas, e pense como a sua voz se tem comportado nas últimas semanas. Selecione a opção que melhor se aplica à sua realidade.",Saúde Mental e Emocional,Responda com base na frequência dos sintomas,Sente-se infeliz ou deprimido devido ao seu problema de voz?,SCOREQUES0096,0,,,10,10,"0 - Nunca - VOISS_NEVER
1 - Ocasionalmente - VOISS_OCASSIONALLY
2-Com alguma frequência - VOISS_VERY_OFTEN
3-Muitas vezes - VOISS_MANY_TIMES",Nao,Selecionar apenas uma opção,Likert,Score >16 sugere disfonia,Somatório
