Programa,Tipo de prescrição,Prescrição,Code,Modo de medição,Dispositivo,Dispositivo code,Monitorização recorrente,Duração,Configuração datas e horas,Período a monitorizar,Periodo code,Seg,Ter,Qua,Qui,Sex,Sab,Dom,Conteudos por dia ,Numero de ocorrencias
Reabilitação Vocal,Parâmetro biométrico,Saturação de oxigénio,PEROXYSAT,Automática,Mola IHealth,IHEALTHOXIMETER,Sim,182,"Todos os dias, 19h00",Durante o exercicio,DURING_EXERCISE,19:00,19:00,19:00,19:00,19:00,19:00,19:00,,
Reabilitação Vocal,Parâmetro biométrico,Frequência cardíaca,HEARTRATE,Automática,Mola IHealth,IHEALTHOXIMETER,Sim,182,"Todos os dias, 19h00",Durante o exercicio,DURING_EXERCISE,19:00,19:00,19:00,19:00,19:00,19:00,19:00,,
Reabilitação Vocal,Parâmetro biométrico,Reforço hidríco (Hidratação em mobile),WATERREINFORCE,Manual,,,Sim,182,"Todos os dias, 20h00",Sem periodo definido,NOSCHEDULE,20:00,20:00,20:00,20:00,20:00,20:00,20:00,,
Reabilitação Vocal,Questionário (=2),Abusos e Maus Usos Vocais - Diário,Vocal_Abuse_Diary,Manual,,,Sim,182,Todos os dias 20h00,Sem periodo definido,UNDEFINED,20:00,20:00,20:00,20:00,20:00,20:00,20:00,,
Reabilitação Vocal,Questionário (=16),Abusos e Maus Usos Vocais - Semanal,Vocal_Abuse_Weekly,Manual,,,Sim,182,Segundas 20h00,Sem periodo definido,UNDEFINED,20:00,20:00,20:00,20:00,20:00,20:00,20:00,,
Reabilitação Vocal,Questionário (=30),The Voice Handicap Index (VHI),VOICE_HANDICAP,Manual,,,Sim,7,"Quinta 10H
(durante 1 semana)",Sem periodo definido,UNDEFINED,,,,10:00,,,,,
Reabilitação Vocal,Questionário (=30),VoiSS,VOISS,Manual,,,Sim,7,"Quinta 10H
(durante 1 semana)",Sem periodo definido,UNDEFINED,,,,10:00,,,,,
Reabilitação Vocal,Exercicios (=20),Reabilitação vocal,,Manual,,,Sim,182,Todos os dias às 19h00,Sem periodo definido,NOSCHEDULE,19:00,19:00,19:00,19:00,19:00,19:00,19:00,,
Reabilitação Vocal,Conteúdos (=34),Saúde Vocal,,Manual,,,Sim,182,"Todos os dias, 2 conteudos dia",Antes do exercicio,BEFORE_EXERCISE,X,X,X,X,X,X,X,2,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
