Programa,Tipo de regra,Prescrição da regra,Regra de alerta,codes,Gravidade,Gravidade Code,Origem,Composta,Questionnnaire code
DPOC,Composta,Parâmetro biométrico & Parâmetro biométrico,"Frequência cardíaca > 120 bpm 
& 
SpO2 % < 92%",,Grave,,Programa 2022,,
DPOC,Simples,Parâmetro biométrico,SpO2 % < 92%,,Grave,,Programa 2022 & PROD,,
DPOC,Simples,Parâmetro biométrico,Temperatura corporal >= 38 ºC,,Grave,,PROD,,
DPOC,Simples,Questionário,"Comparado com o seu habitual, como se sentiu na última semana? = Mal",,Moderado,,Programa 2022 & PROD,,
DPOC,Simples,Questionário,"Comparado com o seu habitual, como se sentiu na última semana? = Muito Mal",,Grave,,Programa 2022 & PROD,,
DPOC,Simples,Questionário,"Comparado com o seu habitual, como esteve a sua falta de ar? = Mal",,Moderado,,Programa 2022 & PROD,,
DPOC,Simples,Questionário,"Comparado com o seu habitual, como esteve a sua falta de ar? = Muito mal",,Grave,,Programa 2022 & PROD,,
DPOC,Simples,Questionário,Teve dificuldades em dormir por dificuldade respiratória? = Tenho dificuldade,,Moderado,,Programa 2022 & PROD,,
DPOC,Simples,Questionário,Teve dificuldades em dormir por dificuldade respiratória? = Não durmo de todo,,Grave,,Programa 2022 & PROD,,
DPOC,Composta,Questionário,"Na última semana teve tosse? = Sim
&
De que cor é a sua expetoração? = Esverdeada",,Moderado,,Programa 2022,,
DPOC,Composta,Questionário,"Na última semana teve tosse? = Sim
&
De que cor é a sua expetoração? = Acastanhada",,Grave,,Programa 2022,,
DPOC,Composta,Questionário,"Na última semana teve tosse? = Não sei
&
De que cor é a sua expetoração? = Esverdeada",,Moderado,,Programa 2022,,
DPOC,Composta,Questionário,"Na última semana teve tosse? = Não sei
&
De que cor é a sua expetoração? = Acastanhada",,Grave,,Programa 2022,,
ICC,Composta,Parâmetro biométrico & Parâmetro biométrico,"Frequência cardíaca >= 40 bpm 
& Frequência cardíaca < 50 bpm",,Moderado,,Programa 2022,,
ICC,Simples,Parâmetro biométrico & Parâmetro biométrico,Frequência cardíaca < 40 bpm,,Grave,,Programa 2022,,
ICC,Composta,Parâmetro biométrico & Parâmetro biométrico,"Frequência cardíaca > 100 bpm 
& Frequência cardíaca <= 120 bpm",,Moderado,,Programa 2022,,
ICC,Simples,Parâmetro biométrico & Parâmetro biométrico,Frequência cardíaca > 120 bpm,,Grave,,Programa 2022,,
ICC,Composta,Parâmetro biométrico & Parâmetro biométrico,"Pressão arterial sistólica >= 85 mmHg 
& Pressão arterial sistólica < 95 mmHg",,Moderado,,Programa 2022,,
ICC,Simples,Parâmetro biométrico & Parâmetro biométrico,Pressão arterial sistólica < 85 mmHg,,Grave,,Programa 2022,,
ICC,Composta,Parâmetro biométrico & Parâmetro biométrico,"Pressão arterial sistólica > 150 mmHg 
& Pressão arterial sistólica <= 180 mmHg",,Moderado,,Programa 2022,,
ICC,Simples,Parâmetro biométrico & Parâmetro biométrico,Pressão arterial sistólica > 180 mmHg,,Grave,,Programa 2022,,
ICC,Composta,Parâmetro biométrico & Parâmetro biométrico,"Pressão arterial diastólica >= 50 mmHg 
& Pressão arterial diastólica < 60 mmHg",,Moderado,,Programa 2022,,
ICC,Simples,Parâmetro biométrico & Parâmetro biométrico,Pressão arterial diastólica < 50 mmHg,,Grave,,Programa 2022,,
