Programa,Tipo de prescrição,Prescrição,Code,Modo de medição,Dispositivo,Dispositivo code,Monitorização recorrente,Duração,Configuração datas e horas,Período a monitorizar,Periodo code,Seg,Ter,Qua,Qui,Sex,Sab,Dom,Conteudos por dia ,Numero de ocorrencias
Doente Renal Crónico,Parâmetro biométrico,Pressão arterial,BLOPRE,Automática,Tensiómetro IHealth,IHEALTHTENSIOMETER,Sim,182,"Quarta, Domingo 10h00",Sem periodo definido,NOSCHEDULE,,,10:00,,,,10:00,,
Doente Renal Crónico,Parâmetro biométrico,Frequência cardíaca,HEARTRATE,Automática,Tensiómetro IHealth,IHEALTHTENSIOMETER,Sim,182,"Quarta, Domingo 10h00",Sem periodo definido,NOSCHEDULE,,,10:00,,,,10:00,,
Doente Renal Crónico,Parâmetro biométrico,Saturação de oxigénio,PEROXYSAT,Automática,Mola IHealth,IHEALTHOXIMETER,Sim,182,"Quarta, Domingo 10h00",Sem periodo definido,NOSCHEDULE,,,10:00,,,,10:00,,
Doente Renal Crónico,Parâmetro biométrico,Frequência cardíaca,HEARTRATE,Automática,Mola IHealth,IHEALTHOXIMETER,Sim,182,"Quarta, Domingo 10h00",Sem periodo definido,NOSCHEDULE,,,10:00,,,,10:00,,
Doente Renal Crónico,Parâmetro biométrico,Peso Corporal,BODWEI,Manual,,,Sim,182,"Quarta, Domingo 10h00",Sem periodo definido,NOSCHEDULE,,,10:00,,,,10:00,,
Doente Renal Crónico,Parâmetro biométrico,Pressão arterial,BLOPRE,Manual,,,Sim,182,"Quarta, Domingo 19h00",Sem periodo definido,NOSCHEDULE,,,10:00,,,,10:00,,
Doente Renal Crónico,Parâmetro biométrico,Frequência cardíaca,HEARTRATE,Manual,,,Sim,182,"Quarta, Domingo 19h00",Sem periodo definido,NOSCHEDULE,,,10:00,,,,10:00,,
Doente Renal Crónico,Parâmetro biométrico,Saturação de oxigénio,PEROXYSAT,Manual,,,Sim,182,"Quarta, Domingo 19h00",Sem periodo definido,NOSCHEDULE,,,10:00,,,,10:00,,
Doente Renal Crónico,Parâmetro biométrico,Dor,PAIN,Manual,,,Sim,182,"Quarta, Domingo 10h00",Sem periodo definido,NOSCHEDULE,,,10:00,,,,10:00,,
Doente Renal Crónico,Parâmetro biométrico,Volume de urina,UROUT,Manual,,,Sim,182,"Domingo, cada duas semanas 10h00",Sem periodo definido,NOSCHEDULE,,,,,,,10:00,,
Doente Renal Crónico,Questionário (=17),Questionário Doente Renal Crónico,CHRONIC-KIDNEY-DISEASE-QUEST,Manual,,,Sim,182,"Todos os Domingos, 1x mês 10h00",Sem periodo definido,UNDEFINED,,,,,,,10:00,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
